('pmx', 'insertion', '0.01', '-1', '0.01', 'sigma')
('pmx', 'insertion', '0.01', '-1', '0.1', 'inverse')
('pmx', 'insertion', '0.01', '-1', '0.1', 'linear')
('pmx', 'insertion', '0.01', '-1', '0.1', 'sigma')
('pmx', 'insertion', '0.01', '0', '0', 'inverse')
('pmx', 'insertion', '0.01', '0', '0', 'linear')
('pmx', 'insertion', '0.01', '0', '0', 'sigma')
('pmx', 'insertion', '0.01', '0', '0.001', 'inverse')
('pmx', 'insertion', '0.01', '0', '0.001', 'linear')
('pmx', 'insertion', '0.01', '0', '0.001', 'sigma')
('pmx', 'insertion', '0.01', '0', '0.01', 'inverse')
('pmx', 'insertion', '0.01', '0', '0.01', 'linear')
('pmx', 'insertion', '0.01', '0', '0.01', 'sigma')
('pmx', 'insertion', '0.01', '0', '0.1', 'inverse')
('pmx', 'insertion', '0.01', '0', '0.1', 'linear')
('pmx', 'insertion', '0.01', '0', '0.1', 'sigma')
('pmx', 'insertion', '0.1', '2', '0', 'inverse')
('pmx', 'insertion', '0.1', '2', '0', 'linear')
('pmx', 'insertion', '0.1', '2', '0', 'sigma')
('pmx', 'insertion', '0.1', '2', '0.001', 'inverse')
('pmx', 'insertion', '0.1', '2', '0.001', 'linear')
('pmx', 'insertion', '0.1', '2', '0.001', 'sigma')
('pmx', 'insertion', '0.1', '2', '0.01', 'inverse')
('pmx', 'insertion', '0.1', '2', '0.01', 'linear')
('pmx', 'insertion', '0.1', '2', '0.01', 'sigma')
('pmx', 'insertion', '0.1', '2', '0.1', 'inverse')
('pmx', 'insertion', '0.1', '2', '0.1', 'linear')
('pmx', 'insertion', '0.1', '2', '0.1', 'sigma')
('pmx', 'insertion', '0.1', '5', '0', 'inverse')
('pmx', 'insertion', '0.1', '5', '0', 'linear')
('pmx', 'insertion', '0.1', '5', '0', 'sigma')
('pmx', 'insertion', '0.1', '5', '0.001', 'inverse')
('pmx', 'insertion', '0.1', '5', '0.001', 'linear')
('pmx', 'insertion', '0.1', '5', '0.001', 'sigma')
